name	Air	brackish	Cultivated	Food	freshwater	host_associated	hydrothermal	marine	Plant_Associated	soil	unknown	wastewater	other
GCA_012515355_ASM1251535v1	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_012965515_ASM1296551v1	1	0	0	0	1	1	1	1	1	1	1	1	0
GCA_013216135_ASM1321613v1	0	0	0	0	0	0	0	1	0	0	0	0	0
GCA_013288645_ASM1328864v1	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_014380105_ASM1438010v1	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_016178265_ASM1617826v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_016191155_ASM1619115v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_016193285_ASM1619328v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_016201905_ASM1620190v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_016212515_ASM1621251v1	0	0	0	0	1	0	0	0	0	0	0	1	0
GCA_016280955_ASM1628095v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016282705_ASM1628270v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016283185_ASM1628318v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016287985_ASM1628798v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016288515_ASM1628851v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016699165_ASM1669916v1	0	0	0	0	1	0	0	0	0	1	0	1	0
GCA_016706695_ASM1670669v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_016712355_ASM1671235v1	0	0	0	0	0	0	0	0	0	0	0	1	0
GCA_016712465_ASM1671246v1	0	1	0	0	1	1	0	0	0	0	1	1	0
GCA_016714375_ASM1671437v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_016716405_ASM1671640v1	0	0	0	0	0	0	1	0	0	0	0	1	0
GCA_016716945_ASM1671694v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_016718315_ASM1671831v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_016719695_ASM1671969v1	0	1	0	0	1	1	0	0	0	0	1	1	0
GCA_016720765_ASM1672076v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_016721225_ASM1672122v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_016788365_ASM1678836v1	0	1	0	0	1	1	0	0	0	0	1	1	0
GCA_017303615_ASM1730361v1	0	0	0	0	1	1	0	1	0	1	0	1	0
GCA_017307165_ASM1730716v1	0	0	0	0	1	1	1	1	1	1	1	1	0
GCA_017402995_ASM1740299v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017415185_ASM1741518v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017452865_ASM1745286v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017467305_ASM1746730v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017475485_ASM1747548v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017520125_ASM1752012v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_017560095_ASM1756009v1	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_001765415_ASM176541v1	0	0	0	0	0	1	0	0	0	1	1	1	0
GCA_001784535_ASM178453v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_001784555_ASM178455v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_001784565_ASM178456v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_001784585_ASM178458v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_001784615_ASM178461v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_001786505_ASM178650v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_001786525_ASM178652v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_001786555_ASM178655v1	0	0	0	0	1	0	0	0	0	1	0	0	0
GCA_017888365_ASM1788836v1	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_017987375_ASM1798737v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_017989675_ASM1798967v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_017998685_ASM1799868v1	0	0	0	0	1	1	0	0	0	0	1	1	0
GCA_018389385_ASM1838938v1	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_018695135_ASM1869513v1	0	1	0	0	0	0	0	1	0	0	0	0	0
