	Air	Brackish	Cultivated	Food	Fracking_Well	Freshwater	Glacial	Host_Associated	Hydrothermal	Marine	Plant_Associated	soil_sediment_rock	Unknown	Wastewater	Wetland
GCA_001765415.1_ASM176541v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
GCA_001784535.1_ASM178453v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_001784555.1_ASM178455v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_001784565.1_ASM178456v1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_001784585.1_ASM178458v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_001784615.1_ASM178461v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_001786505.1_ASM178650v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_001786525.1_ASM178652v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_001786555.1_ASM178655v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_001858525.1_ASM185852v1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_001899315.1_ASM189931v1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0
GCA_001899335.1_ASM189933v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_001899365.1_ASM189936v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_001899385.1_ASM189938v1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
GCA_001899425.1_ASM189942v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_001917115.1_ASM191711v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_002102645.1_ASM210264v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_002102715.1_ASM210271v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102725.1_ASM210272v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102735.1_ASM210273v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102745.1_ASM210274v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102795.1_ASM210279v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102805.1_ASM210280v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102815.1_ASM210281v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102825.1_ASM210282v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_002102875.1_ASM210287v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102885.1_ASM210288v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102895.1_ASM210289v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102905.1_ASM210290v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102955.1_ASM210295v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102975.1_ASM210297v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102985.1_ASM210298v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002102995.1_ASM210299v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002103035.1_ASM210303v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002103055.1_ASM210305v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1
GCA_002103075.1_ASM210307v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_002103085.1_ASM210308v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_002103105.1_ASM210310v1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
GCA_002103135.1_ASM210313v1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
GCA_002633155.1_ASM263315v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_003149375.1_ASM314937v1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GCA_003150395.1_ASM315039v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_003151275.1_20120700_P3D	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_003153555.1_20120700_P3D	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_003242885.1_ASM324288v1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0
GCA_003258725.1_ASM325872v1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003258735.1_ASM325873v1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003258785.1_ASM325878v1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003258795.1_ASM325879v1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GCA_003963305.1_ASM396330v1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
GCA_004769085.1_ASM476908v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_004769095.1_ASM476909v1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0
GCA_004769115.1_ASM476911v1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0
GCA_005110385.1_ASM511038v1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_005110395.1_ASM511039v1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_012515355.1_ASM1251535v1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
GCA_012965515.1_ASM1296551v1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0
GCA_013216135.1_ASM1321613v1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GCA_013288645.1_ASM1328864v1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GCA_014380105.1_ASM1438010v1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GCA_016178265.1_ASM1617826v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_016191155.1_ASM1619115v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_016193285.1_ASM1619328v1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_016196635.1_ASM1619663v1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
GCA_016201905.1_ASM1620190v1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_016212515.1_ASM1621251v1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GCA_016280955.1_ASM1628095v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016282705.1_ASM1628270v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016283185.1_ASM1628318v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016287985.1_ASM1628798v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016288515.1_ASM1628851v1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_016699165.1_ASM1669916v1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
GCA_016706695.1_ASM1670669v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016712355.1_ASM1671235v1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GCA_016712465.1_ASM1671246v1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016714375.1_ASM1671437v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016716405.1_ASM1671640v1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
GCA_016716945.1_ASM1671694v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016718315.1_ASM1671831v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016719695.1_ASM1671969v1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016720765.1_ASM1672076v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016721225.1_ASM1672122v1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_016788365.1_ASM1678836v1	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0
GCA_017303615.1_ASM1730361v1	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0
